Key,Id,Shared Comments,English (United States)(en-US),English (United States)(en-US) Comments,Korean (South Korea)(ko-KR),Korean (South Korea)(ko-KR) Comments,Japanese (Japan)(ja-JP),Japanese (Japan)(ja-JP) Comments,Chinese (Simplified)(zh-CN),Chinese (Simplified)(zh-CN) Comments
Play,2.05578E+14,,PLAY,,플레이,,プレイ,,,
Settings,2.06258E+14,,SETTINGS,,설정,,設定,,,
Quit,2.06376E+14,,QUIT,,나가기,,終了,,,
MULTI,2.0654E+14,,MULTI,,멀티플레이,,マルチプレイ,,,
BACK,2.0666E+14,,BACK,,뒤로가기,,戻る,,,
HOST,2.06814E+14,,HOST,,호스트,,ホスト,,,
GUEST,2.06932E+14,,GUEST,,게스트,,ゲスト,,,
AUDIO,2.07102E+14,,AUDIO,,오디오,,オーディオ,,,
VIDEO,2.07251E+14,,VIDEO,,비디오,,ビデオ,,,
CONTROL,2.07332E+14,,CONTROL,,컨트롤,,操作,,,
LANGUAGE,2.07422E+14,,LANGUAGE,,언어,,言語,,,
Master,2.07697E+14,,Master,,총 볼륨,,マスター音量,,,
Ambient,2.07819E+14,,Ambient,,주변음,,環境音,,,
BGM,2.07932E+14,,BGM,,배경음,,音楽,,,
SFX,2.07997E+14,,SFX,,효과음,,効果音,,,
Resolution,2.08807E+14,,Resolution,,해상도,,解像度,,,
FullScreen,2.09E+14,,FullScreen,,전체화면,,フルスクリーン,,,
Brightness,2.0917E+14,,Brightness,,밝기,,明るさ,,,
WindowScreen,2.14101E+14,,WindowScreen,,창 모드,,ウィンドウモード,,,
